gene_id,module,module_color,gene_name
ENSG00000127863,0,#cccccc,TNFRSF19
ENSG00000121039,0,#cccccc,RDH10
ENSG00000101311,0,#cccccc,FERMT1
ENSG00000170909,6,#8197f4,OSCAR
ENSG00000053918,0,#cccccc,KCNQ1
ENSG00000105894,7,#f45deb,PTN
ENSG00000185274,7,#f45deb,GALNT17
ENSG00000177494,6,#8197f4,ZBED2
ENSG00000177455,2,#c69432,CD19
ENSG00000138160,7,#f45deb,KIF11
ENSG00000140961,0,#cccccc,OSGIN1
ENSG00000159167,0,#cccccc,STC1
ENSG00000069535,7,#f45deb,MAOB
ENSG00000006118,7,#f45deb,TMEM132A
ENSG00000124875,0,#cccccc,CXCL6
ENSG00000204681,0,#cccccc,GABBR1
ENSG00000160593,6,#8197f4,JAML
ENSG00000136286,6,#8197f4,MYO1G
ENSG00000206195,7,#f45deb,DUXAP8
ENSG00000197496,0,#cccccc,SLC2A10
ENSG00000184012,0,#cccccc,TMPRSS2
ENSG00000177943,0,#cccccc,MAMDC4
ENSG00000203799,0,#cccccc,CCDC162P
ENSG00000095917,7,#f45deb,TPSD1
ENSG00000171564,0,#cccccc,FGB
ENSG00000147883,7,#f45deb,CDKN2B
ENSG00000251532,0,#cccccc,AC091849.2
ENSG00000188089,0,#cccccc,PLA2G4E
ENSG00000154839,7,#f45deb,SKA1
ENSG00000139211,0,#cccccc,AMIGO2
ENSG00000162817,0,#cccccc,C1orf115
ENSG00000008735,0,#cccccc,MAPK8IP2
ENSG00000179094,7,#f45deb,PER1
ENSG00000129682,0,#cccccc,FGF13
ENSG00000157388,0,#cccccc,CACNA1D
ENSG00000177508,0,#cccccc,IRX3
ENSG00000260265,0,#cccccc,LINC02562
ENSG00000188171,0,#cccccc,ZNF626
ENSG00000138772,0,#cccccc,ANXA3
ENSG00000233913,0,#cccccc,RPL10P9
ENSG00000117707,0,#cccccc,PROX1
ENSG00000167600,0,#cccccc,CYP2S1
ENSG00000135929,7,#f45deb,CYP27A1
ENSG00000196735,6,#8197f4,HLA-DQA1
ENSG00000075702,7,#f45deb,WDR62
ENSG00000008853,0,#cccccc,RHOBTB2
ENSG00000102962,0,#cccccc,CCL22
ENSG00000109674,7,#f45deb,NEIL3
ENSG00000130054,0,#cccccc,FAM155B
ENSG00000121769,0,#cccccc,FABP3
ENSG00000147642,0,#cccccc,SYBU
ENSG00000172828,0,#cccccc,CES3
ENSG00000171033,0,#cccccc,PKIA
ENSG00000162174,0,#cccccc,ASRGL1
ENSG00000142552,0,#cccccc,RCN3
ENSG00000151914,0,#cccccc,DST
ENSG00000128016,7,#f45deb,ZFP36
ENSG00000101916,6,#8197f4,TLR8
ENSG00000008441,7,#f45deb,NFIX
ENSG00000170231,0,#cccccc,FABP6
ENSG00000167702,0,#cccccc,KIFC2
ENSG00000276600,0,#cccccc,RAB7B
ENSG00000178752,0,#cccccc,ERFE
ENSG00000039537,7,#f45deb,C6
ENSG00000198774,0,#cccccc,RASSF9
ENSG00000111186,0,#cccccc,WNT5B
ENSG00000123201,0,#cccccc,GUCY1B2
ENSG00000172260,7,#f45deb,NEGR1
ENSG00000120093,0,#cccccc,HOXB3
ENSG00000162654,6,#8197f4,GBP4
ENSG00000105173,7,#f45deb,CCNE1
ENSG00000145569,7,#f45deb,OTULINL
ENSG00000104415,0,#cccccc,CCN4
ENSG00000114771,7,#f45deb,AADAC
ENSG00000214796,0,#cccccc,TUBA5P
ENSG00000182836,7,#f45deb,PLCXD3
ENSG00000172005,7,#f45deb,MAL
ENSG00000143341,7,#f45deb,HMCN1
ENSG00000130518,7,#f45deb,IQCN
ENSG00000125730,0,#cccccc,C3
ENSG00000163072,7,#f45deb,NOSTRIN
ENSG00000167771,7,#f45deb,RCOR2
ENSG00000214128,0,#cccccc,TMEM213
ENSG00000154099,7,#f45deb,DNAAF1
ENSG00000049249,0,#cccccc,TNFRSF9
ENSG00000147234,0,#cccccc,FRMPD3
ENSG00000175164,0,#cccccc,ABO
ENSG00000122952,7,#f45deb,ZWINT
ENSG00000134317,0,#cccccc,GRHL1
ENSG00000185101,0,#cccccc,ANO9
ENSG00000088827,6,#8197f4,SIGLEC1
ENSG00000111962,7,#f45deb,UST
ENSG00000176971,7,#f45deb,FIBIN
ENSG00000103569,6,#8197f4,AQP9
ENSG00000152049,0,#cccccc,KCNE4
ENSG00000069702,7,#f45deb,TGFBR3
ENSG00000186417,7,#f45deb,GLDN
ENSG00000196584,7,#f45deb,XRCC2
ENSG00000121005,0,#cccccc,CRISPLD1
