cancer_type,n_samples,BIRC5_mean,BIRC5_median,BIRC5_std,CCNB1_mean,CCNB1_median,CCNB1_std,CCNB2_mean,CCNB2_median,CCNB2_std,CDC20_mean,CDC20_median,CDC20_std,KIF2C_mean,KIF2C_median,KIF2C_std
READ,28,5.332352668807632,5.430142236844885,1.185182946977473,6.096851668946434,6.154181250888795,1.0915771180107172,5.274425111018171,5.379080224315214,0.926600695962094,6.174171548000774,6.47866310526471,1.234598666323166,4.197909233027265,4.350465023817831,1.082583910182168
SARC,22,5.242099592761087,5.5613412434374165,1.6874312913025626,5.76299036848807,6.179233795722914,1.4391473448085201,4.959150637434151,5.392761393932002,1.5075043883031887,5.799482541254949,6.193802365186418,1.7863106049725799,4.510911202336417,4.94389473823974,1.654994250832566
SKCM,21,4.97411408552526,5.028074024827597,1.0415775314884506,5.699586792098384,5.92233820932452,0.9153489676392621,4.411509316054594,4.466118074057104,1.210186357961574,5.708262119362427,5.84328794760729,1.0120683363034946,4.2818139148577945,4.674172490550564,1.0689540103082433
STAD,30,3.7020468489300935,3.9388142426105075,1.4532344094840697,4.9468042710039315,5.160815854096704,1.5238897787014218,4.4836741253253996,4.706391469845574,1.508073062518204,5.189595501843783,5.632594632783307,1.7611004900571174,3.6455717426281358,3.9280674811246157,1.3411758606737862
TGCT,20,5.981766351501449,6.104627549843228,0.982863726517284,7.052064971564799,7.2898098162011875,1.1255521323403956,6.505960095717905,6.816098056063569,1.1323759561485873,7.070436899149473,6.855749444752629,1.1147881273419515,5.9175535274226245,6.081843022588075,0.8280586031501954
THCA,30,1.2783189713615741,1.152627488442664,0.8286937208911866,4.303094943946286,4.253457349453125,0.3437338920493408,2.0735094712758113,2.071830067529875,0.727421030640622,2.6660057632064706,2.426358561201154,0.7683283680489569,1.9205954409088024,1.816680863988895,0.615908076144319
THYM,22,5.683422017953611,5.869404459626482,1.715001597964565,6.125272570053826,6.154020818799629,1.1151783713014611,5.639425034039493,5.8292636449796404,1.6144557027257056,6.6333756656387886,6.691968235079006,1.6995379980485528,5.148048195006283,5.1253453599593435,1.348952587851281
UCEC,30,4.144234850879178,4.887360390704851,1.9949768613187913,5.607083378590525,6.386288504743993,1.6711810546016193,4.299522689037488,4.660942685141897,1.6890215075831914,5.458022017294696,6.199905529470568,2.4271660999763913,3.6534986573494885,4.036999513007403,1.6893313847821365
UCS,20,6.563411824479886,6.593397321098499,0.6931096310600752,7.218123007997564,7.219370721029646,0.5651007397878562,6.070536485821156,6.029560080995562,0.537040567910353,7.731864147020351,7.697741734826577,0.746001834146597,6.0298817083734955,5.968010880450742,0.7764424416605055
UVM,20,2.738367079979988,2.639025899170042,1.0057852304223196,3.9716202540403254,3.9356558624956683,0.8455582996505694,2.3598880615219597,2.4342901230465492,0.866490252669193,3.1628019388279887,3.183114150505135,0.915283335045051,1.9415430199952575,1.9950398183607518,0.731983151228702
