Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),24/77,1.354913226347422e-05,0.0048530528289171,0,0,3.186433969875254,35.717337584521346,CCL14;CCL24;EDN1;CCL23;TGFB2;FCER1G;EDN3;PLA2G1B;EMP2;PPBP;CXCL3;CXCL2;CX3CL1;JAML;CXCR1;CXCR2;PECAM1;CCL2;S100A12;NCKAP1L;CD300H;CCL18;CCL16;PF4,Down
GO_Biological_Process_2023,Axoneme Assembly (GO:0035082),16/41,1.6189812704901647e-05,0.0051924950362604,0,0,4.4962123039807,49.59829505411511,DNAI4;CFAP74;RSPH4A;SPEF1;DNAAF3;DNAAF1;CFAP91;DNAAF6;RSPH9;RP1;RSPH1;HYDIN;CFAP46;JHY;CCDC65;HOATZ,Down
GO_Biological_Process_2023,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),40/163,1.817001341460992e-05,0.0051924950362604,0,0,2.2939834757665483,25.040522453902376,CHRM2;PTGER4;PTGFR;VIPR1;ADCYAP1R1;RAMP2;CALCRL;RAMP3;GPR65;FPR1;ADCY4;ADRA1D;ADRB2;FPR2;PTH1R;ADCY8;ADGRE1;AKAP12;GRK5;ADGRE5;CNR1;ADGRE3;GPER1;P2RY12;PTGIR;PDE2A;AVPR2;GLP2R;GPR4;MARCO;ADGRD1;ADCY9;ADGRB3;GNAQ;ADGRF5;ADGRL4;VIP;ADGRL2;ADGRL3;PF4,Down
GO_Biological_Process_2023,Defense Response To Tumor Cell (GO:0002357),8/12,1.8450489976560116e-05,0.0051924950362604,0,0,14.02244488977956,152.8505335488584,SPI1;DAPK1;LAPTM5;PRF1;CASC2;DLEC1;KLF4;RBMS3,Down
GO_Biological_Process_2023,Venous Blood Vessel Development (GO:0060841),6/7,2.3889623559399138e-05,0.0062468014360772,0,0,42.04084901882258,447.4015048366564,ACVRL1;CCBE1;BMPR2;FOXF1;APLNR;ENG,Down
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),22/70,2.6472830958237132e-05,0.0062468014360772,0,0,3.2234817949751444,33.9735369454809,CCL14;CCL24;EDN1;CCL23;TGFB2;FCER1G;EDN3;PLA2G1B;PPBP;CXCL3;CXCL2;CX3CL1;JAML;CXCR1;CXCR2;CCL2;S100A12;NCKAP1L;CD300H;CCL18;CCL16;PF4,Down
GO_Biological_Process_2023,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),13/30,2.6953204165815643e-05,0.0062468014360772,0,0,5.368296716276872,56.48204202849016,CETP;MSR1;PRKCH;PLA2G2A;PLA2G3;PLA2G5;NFKBIA;AGTR1;PPARG;CD36;LCP1;ABCG1;PF4,Down
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),27/96,3.246840795023998e-05,0.0071069737402191,0,0,2.7543021704010675,28.46638223880062,ACVRL1;NRROS;ZFYVE9;WFIKKN2;LRRC32;CDH5;CLEC3B;HYAL2;ANKRD1;LPXN;WNT2;SOX5;GDF10;JUN;TGFB2;PDE2A;APOA1;SMAD9;WNT7A;FOS;SMAD6;TGFBR2;SMAD7;TGFBR3;CLDN5;FERMT2;ENG,Down
GO_Biological_Process_2023,Vasculature Development (GO:0001944),9/16,3.7085791139425416e-05,0.0076904219520703,0,0,9.016496735021194,91.9887941032928,ACVRL1;CDH5;BMPR2;FOXF1;SOX18;FLT4;NOTCH4;APLNR;TCF21,Down
GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),26/93,5.045854530066834e-05,0.0099403334242316,0,0,2.730674443687899,27.01827173952433,SEMA5A;BMPR2;FLT4;PDGFB;PTPRM;FGF2;ALOX5;AKT3;ATOH8;PPP1R16B;CCL24;EGR3;ANGPT1;CAV2;CAV1;TIE1;TNFSF12;VEGFD;VASH1;NELL2;NR4A1;BMP2;RGCC;CDH13;TEK;VIP,Down
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),22/73,5.441412578541331e-05,0.0102091264568823,0,0,3.033343607495397,29.784057424498048,CCL14;CCL24;EDN1;CCL23;TGFB2;FCER1G;EDN3;PLA2G1B;PPBP;CXCL3;CXCL2;CX3CL1;JAML;CXCR1;CXCR2;CCL2;S100A12;NCKAP1L;CD300H;CCL18;CCL16;PF4,Down
