,ME1,ME2,ME3,ME4,ME5,ME6,ME7
TCGA-MN-A4N1-01A,-9.861058007975906,-6.435893713430888,7.271103347905847,3.7032468684712185,-3.4854524828126756,-27.599816396373978,-23.828355143724
TCGA-44-7667-01A,-2.4570894475208496,-3.8238198603440514,-7.357079360335707,-11.748195295502587,-3.8631094358380795,-23.35572551496281,-38.30563723503164
TCGA-NJ-A4YP-01A,-2.3610010473159697,-0.9145096063092456,4.07451089576655,2.381459837892543,6.721744163487712,-8.3653756857356,-11.231682551269742
TCGA-91-6828-01A,5.6001490818535515,4.07155537864636,-0.3032232094471935,-0.3036164725813379,-0.09679796743900375,13.319717852275314,1.8228816844519764
TCGA-MP-A4TA-01A,5.869901271441287,0.9734717248916364,5.926796176096895,2.932070375981107,-2.103027684891603,-4.4467434633942124,-27.622312671601122
TCGA-50-7109-01A,8.427082513134755,2.599158773903833,-1.2330640608873962,-2.461456856524395,0.2193356119809592,-5.62905026013272,-10.223627567420213
TCGA-75-7027-01A,1.9103101199705221,-2.4671377061851842,2.3166941713001092,-1.101149335334373,7.930449889003249,-18.344986657508723,-20.437677218641358
TCGA-55-6971-11A,-10.722670886843758,-4.441498693950105,0.49511543351283827,5.574060320332105,4.203607258056074,16.84711995123771,44.53452094301351
TCGA-55-6978-01A,0.927522232334248,4.844906379252101,-2.0077458596279385,-2.137759651049107,10.389327277324973,21.8092831016517,-11.66275903073748
TCGA-44-A479-01A,17.051248960624402,9.598612736937392,3.899996069898679,3.696737299514883,4.345954693600815,16.744539163061713,-9.578305161672482
TCGA-55-6975-01A,8.32910781409317,-0.6058726845829989,-6.451839359901751,-8.88016237533544,11.783365419047112,-13.507053647858156,-13.343880818345246
TCGA-49-6745-11A,-14.92094402186376,-6.041021359957702,-9.255311419350404,-6.601553927659038,2.3445606975091593,12.758389682980773,45.335205507285764
TCGA-69-8453-01A,-4.725239461048465,1.1740044857034062,-1.0284957513495634,0.5103535053053201,0.8378985192732991,23.101018483661626,16.99729783764476
TCGA-55-8205-01A,4.0096233063220605,5.880686767082605,0.6003053074803394,0.33227512146664423,0.1268510913383309,27.837967014251674,-14.990415754618338
TCGA-MP-A4TH-01A,9.292404087780108,8.084051125802452,5.986419118170089,8.612699709671796,0.16411102583860837,11.002381584461586,13.60945104073873
TCGA-MP-A4T8-01A,-10.457464374531094,-6.371684646724821,5.149570217751575,2.5170515378434346,2.468240400640332,-25.86990484150248,-17.55135072937035
TCGA-55-A4DF-01A,2.2279104929206155,4.516542508977464,6.665923906550885,6.630792550057318,-4.77027930724017,9.921229310640301,-22.497590385575386
TCGA-55-6985-11A,-3.4840416540014405,-2.1603204432236494,-1.028170276801448,3.3779324272151197,5.410395984058701,22.889258628351705,47.833979796786
TCGA-J2-A4AD-01A,-6.248900536362169,-6.94730766824875,8.783722844400618,6.299602084937536,0.6762468402749024,-24.55007610264084,-9.828999742946236
TCGA-55-8513-01A,3.053124270983909,1.620836563072179,4.061695899945241,8.102556603027617,1.817803741846375,18.9703778715014,32.05356970599203
TCGA-86-8671-01A,8.123230536852288,10.641246434291256,2.7175859120506587,5.681225371090939,6.914191588395559,32.813914784161106,15.982594764942677
TCGA-55-7727-01A,-0.7908885138110288,1.3623740131408804,0.3055458362405329,3.235774266655356,-8.741860109940164,0.0033125722966005477,-6.606085407609914
TCGA-86-7955-01A,-9.769647137243819,-6.611548913115805,5.223365505416127,0.2594433263716358,-14.35633393516366,-43.98853437266243,-39.471176485100415
TCGA-49-4487-01A,11.216690525132552,7.57294733091316,-2.314854768861735,-1.5332622609547564,2.641642720275332,8.869761254039012,-13.66580631703855
TCGA-55-6985-01A,7.022409666957253,4.578839278762607,-3.1240787494944313,-2.7248431089561045,3.9029169878153978,5.896195206210156,4.79824924051849
TCGA-05-4415-01A,-1.767763009182526,-2.917015392207637,-4.375557372116256,-6.809090135958226,-9.516740009240422,-19.146741003424797,-33.301743542745804
TCGA-69-7764-01A,6.332318771037138,-0.12630965328866542,5.681623472047711,5.540021094458168,-3.2001103063192184,-14.375734157214707,3.6821479558718155
