,B cells,CD8+ T cells,CD4+ T cells,Tregs,NK cells,Monocytes,Macrophages M1,Macrophages M2,Dendritic cells,Neutrophils,Mast cells,Eosinophils,T helper cells,Cytotoxic cells,Immune checkpoint
TCGA-05-5425-01A,0.4412785289825793,1.4446428521667518,0.21099000365975193,0.789985594761288,0.5954836768755718,0.8509766434560487,0.07275659759951394,0.6915529376109699,-0.1023338160329478,1.0314927860865934,-0.304519719309158,-0.004195717307327406,0.23080618728745508,1.0823235900830068,0.834381433642543
TCGA-49-4490-01A,-0.5728616506719055,-0.8210123805977207,-0.10540959767505723,0.13845071045054838,-0.7929318012541846,-1.0419899063003644,-0.04777530199606412,-1.1910998101614736,-0.37390408658786317,-0.7818501733253447,-0.2779785411439167,-0.09756338374432265,-0.1483815683626704,-0.9022043329128621,-0.4639278784543557
TCGA-55-6971-01A,1.6407058036752233,1.351987973928488,0.9110480019391971,1.0463050600839154,0.9484815991594826,0.9968935912780248,0.7118542782358703,0.7499918086582831,0.008777653989610565,0.9407141869890291,0.59445584449462,0.46969199221977576,0.5113702577550191,1.2524575838201535,1.2422159991167756
TCGA-62-8394-01A,-0.6075778446841301,-0.49448207059002225,-0.22989233770356873,0.20857326689337208,-0.6297892936133287,-0.604087657179142,-0.12677837466248434,-0.4849756388962163,-0.5505492152803129,-0.5868134712958326,-0.5711800969386597,-0.22814086976892328,-0.21009221378836573,-0.7402238643697816,-0.0702575875486972
TCGA-44-2656-01A,0.7413134781810116,1.565406428571759,0.7150130643475575,0.5804109549582523,1.1827577177246817,1.0427829271823452,-0.3847660891805803,0.4846005774288215,0.7293785417113438,0.16130029233257734,0.44359066554874466,0.5014502623900905,0.2815121624547014,1.4049552757823365,1.3202687120360812
TCGA-78-7156-01A,-1.1881341471809068,-0.8710930834469621,-0.8285822730545762,-0.840941493157307,-0.40480176472981655,-1.9095097295862358,-0.642805485139106,-1.4707650180405163,-1.4233883167171373,-0.9073425100804192,-0.16477214207472318,-0.4208004619659249,0.08914411490601608,-0.5946153470819892,-1.3966412137694042
TCGA-91-6849-11A,-0.623028963443957,-0.22283800953128297,0.4766503765560885,-1.160309150818873,0.6680329470356106,0.41050295453021873,0.3351842087741894,0.3349483718794091,0.1711174603407017,0.8445428567578869,0.8185541667094146,0.016934640506509967,0.4480467831198638,0.5527307715632941,-0.1148724373361555
TCGA-50-6594-01A,-1.2906799038382863,-0.9177269329387697,-0.7610038624094644,0.3850437297750397,-0.04202469874848458,-0.4792162407589262,-0.36283538955013445,-0.30272719816100274,0.046108166381363315,-0.8416188935341646,-1.280907521081555,-0.4090813370530695,1.3899465687540455,-0.549263462968325,0.22195028831044555
TCGA-05-5428-01A,-1.1202369484965318,-0.6288439390651832,-0.6632698619387413,-0.9023099723632005,-0.5400247258063932,0.29743025631906134,-0.34920447394973736,0.10132261414922024,-0.20836032870579238,-0.02949163663296608,0.4962054193795961,0.35780310492480977,-0.8303622120964801,-0.7245367595820404,-0.8901666411396874
TCGA-91-6847-11A,-1.202227489939896,-0.6929291286617023,0.14936188132982406,-1.5974141900098333,-0.14962181760005372,0.180779624350215,-0.25064039449251807,0.31218524980032575,-0.3511097882921111,0.9423133117653054,0.11118711272075542,-0.33456213408492425,0.18235795201730634,-0.37803213576471134,-0.8129956295573524
